species	dist	ObsDato	numbers	year	week	month
Pinkfoot	8075.669154774459	2015-10-26T14:50:00Z	1200	2015	43	10
Pinkfoot	929.4172945289617	2015-10-26T16:20:00Z	180	2015	43	10
Pinkfoot	7643.469881747597	2015-10-27T15:30:00Z	4	2015	43	10
Pinkfoot	8725.86006442529	2015-10-28T08:20:00Z	830	2015	43	10
Pinkfoot	6483.565703411498	2015-10-28T09:15:00Z	1150	2015	43	10
Pinkfoot	7216.932844359168	2015-10-28T16:35:00Z	320	2015	43	10
Pinkfoot	1940.084768334466	2015-10-30T07:30:00Z	3e3	2015	44	10
Pinkfoot	6220.908567728517	2015-10-30T09:35:00Z	770	2015	44	10
Pinkfoot	6478.4009823415345	2015-10-30T10:30:00Z	47	2015	44	10
Pinkfoot	6140.10219253077	2015-10-31T10:45:00Z	420	2015	44	10
Pinkfoot	7745.710288020619	2015-11-02T14:45:00Z	1	2015	44	11
Pinkfoot	10074.760006009365	2015-11-03T09:40:00Z	1290	2015	44	11
Pinkfoot	1549.3835221938648	2015-11-03T07:20:00Z	1860	2015	44	11
Pinkfoot	556.5134724594749	2016-09-16T07:00:00Z	390	2016	38	9
Pinkfoot	7940.336762720131	2016-09-16T07:50:00Z	24	2016	38	9
Pinkfoot	1785.4613838240166	2016-09-19T15:05:00Z	106	2016	38	9
Pinkfoot	1160.901152217353	2016-09-19T16:50:00Z	425	2016	38	9
Pinkfoot	1462.8320858947316	2016-09-19T17:10:00Z	51	2016	38	9
Pinkfoot	1264.030615427649	2016-09-19T17:20:00Z	31	2016	38	9
Pinkfoot	1045.6189110490293	2016-09-19T17:45:00Z	65	2016	38	9
Pinkfoot	960.8344305180526	2016-09-20T07:00:00Z	280	2016	38	9
Pinkfoot	5893.038103504476	2016-09-20T07:55:00Z	38	2016	38	9
Pinkfoot	675.8419341281474	2016-09-22T07:25:00Z	900	2016	38	9
Pinkfoot	1869.2688649799852	2016-09-22T07:35:00Z	910	2016	38	9
Pinkfoot	1991.6037256523618	2016-09-22T09:00:00Z	300	2016	38	9
Pinkfoot	1907.9701738111412	2016-09-23T08:40:00Z	900	2016	39	9
Pinkfoot	1863.1475035299968	2016-09-23T08:40:00Z	300	2016	39	9
Pinkfoot	2671.9800475220486	2016-09-26T09:30:00Z	270	2016	39	9
Pinkfoot	9865.59650420611	2016-09-27T09:00:00Z	305	2016	39	9
Pinkfoot	11686.148080694451	2016-09-27T09:35:00Z	59	2016	39	9
Pinkfoot	4956.976991929874	2016-09-27T10:00:00Z	330	2016	39	9
Pinkfoot	1723.3628926154774	2016-09-27T11:05:00Z	6	2016	39	9
Pinkfoot	9892.408709063457	2016-09-30T09:45:00Z	155	2016	40	9
Pinkfoot	8178.449340554389	2016-09-30T10:25:00Z	17	2016	40	9
Pinkfoot	1467.2696755351	2016-10-03T13:30:00Z	330	2016	40	10
Pinkfoot	8212.228537583087	2016-10-03T14:25:00Z	970	2016	40	10
Pinkfoot	1186.6561252566582	2016-10-03T17:30:00Z	310	2016	40	10
Pinkfoot	1178.0164092073671	2016-10-04T07:30:00Z	2180	2016	40	10
Pinkfoot	535.3266704887004	2016-10-04T07:30:00Z	4050	2016	40	10
Pinkfoot	9669.018892536902	2016-10-04T10:30:00Z	1250	2016	40	10
Pinkfoot	11762.886964490941	2016-10-04T12:00:00Z	120	2016	40	10
Pinkfoot	4813.432316587925	2016-10-04T12:20:00Z	102	2016	40	10
Pinkfoot	4493.864907609477	2016-10-04T12:45:00Z	65	2016	40	10
Pinkfoot	7992.501939702196	2016-10-04T13:10:00Z	1790	2016	40	10
Pinkfoot	2890.3887315752863	2016-10-04T15:20:00Z	85	2016	40	10
Pinkfoot	2519.229330417261	2016-10-04T15:35:00Z	235	2016	40	10
Pinkfoot	8099.665578439379	2016-10-05T10:45:00Z	580	2016	40	10
Pinkfoot	8322.666691147797	2016-10-05T11:55:00Z	1125	2016	40	10
Pinkfoot	9757.055566239309	2016-10-05T13:35:00Z	1200	2016	40	10
Pinkfoot	6802.485443466091	2016-10-05T14:35:00Z	76	2016	40	10
Pinkfoot	8828.4935427012515	2016-10-06T17:15:00Z	28	2016	40	10
Pinkfoot	8054.507832295537	2016-10-06T17:20:00Z	960	2016	40	10
Pinkfoot	4418.51604528381	2016-10-06T17:40:00Z	290	2016	40	10
Pinkfoot	2499.5068677770873	2016-10-06T17:45:00Z	1370	2016	40	10
Pinkfoot	1487.9267594563782	2016-10-06T17:45:00Z	530	2016	40	10
Pinkfoot	1421.094915736041	2016-10-06T17:45:00Z	3460	2016	40	10
Pinkfoot	2586.8980092799115	2016-10-06T18:00:00Z	30	2016	40	10
Pinkfoot	1070.8795269911968	2016-10-06T18:30:00Z	390	2016	40	10
Pinkfoot	1419.9157487400253	2016-10-07T07:30:00Z	6100	2016	41	10
Pinkfoot	1147.8461187424155	2016-10-07T07:30:00Z	2603	2016	41	10
Pinkfoot	3899.0553903404484	2016-10-07T08:55:00Z	1420	2016	41	10
Pinkfoot	2464.942234825952	2016-10-07T10:00:00Z	360	2016	41	10
Pinkfoot	1755.558552157385	2016-10-07T10:40:00Z	290	2016	41	10
Pinkfoot	6753.792214056463	2016-10-07T11:40:00Z	28	2016	41	10
Pinkfoot	8184.117991195042	2016-10-07T11:55:00Z	910	2016	41	10
Pinkfoot	8798.0748521932	2016-10-07T12:25:00Z	640	2016	41	10
Pinkfoot	8758.026137777135	2016-10-07T12:25:00Z	770	2016	41	10
Pinkfoot	6767.0475037556	2016-10-07T14:45:00Z	180	2016	41	10
Pinkfoot	8465.183921235463	2016-10-07T15:00:00Z	59	2016	41	10
Pinkfoot	11701.943416623892	2016-10-07T15:25:00Z	990	2016	41	10
Pinkfoot	4244.991916047996	2016-10-07T17:00:00Z	260	2016	41	10
Pinkfoot	7789.75407979524	2016-10-10T09:25:00Z	54	2016	41	10
Pinkfoot	3002.420583488652	2016-10-10T14:00:00Z	40	2016	41	10
Pinkfoot	2485.44890222464	2016-10-10T14:05:00Z	445	2016	41	10
Pinkfoot	8174.523813523439	2016-10-10T14:40:00Z	2200	2016	41	10
Pinkfoot	8606.838367045528	2016-10-10T15:25:00Z	450	2016	41	10
Pinkfoot	6862.7957357248015	2016-10-10T16:30:00Z	530	2016	41	10
Pinkfoot	1610.9823092654894	2016-10-11T07:45:00Z	1e3	2016	41	10
Pinkfoot	925.5508912521154	2016-10-11T07:45:00Z	310	2016	41	10
Pinkfoot	577.7184056928141	2016-10-11T07:45:00Z	2300	2016	41	10
Pinkfoot	8272.09511362605	2016-10-11T08:40:00Z	1600	2016	41	10
Pinkfoot	9852.68717609426	2016-10-11T09:00:00Z	1930	2016	41	10
Pinkfoot	9680.332993796934	2016-10-11T09:00:00Z	310	2016	41	10
Pinkfoot	4372.29101097074	2016-10-11T12:00:00Z	15	2016	41	10
Pinkfoot	4953.067705430414	2016-10-11T12:05:00Z	450	2016	41	10
Pinkfoot	7122.786524748972	2016-10-11T13:35:00Z	45	2016	41	10
Pinkfoot	6945.806164054043	2016-10-11T13:35:00Z	185	2016	41	10
Pinkfoot	7071.808735181662	2016-10-11T13:35:00Z	1730	2016	41	10
Pinkfoot	8330.173398933986	2016-10-11T15:20:00Z	480	2016	41	10
Pinkfoot	8700.645053533217	2016-10-11T15:20:00Z	184	2016	41	10
Pinkfoot	2651.9473337855025	2016-10-11T16:05:00Z	115	2016	41	10
Pinkfoot	2510.4528628303538	2016-10-11T16:20:00Z	325	2016	41	10
Pinkfoot	9433.270182180182	2016-10-15T13:35:00Z	235	2016	42	10
Pinkfoot	4920.419769067009	2016-10-15T14:55:00Z	780	2016	42	10
Pinkfoot	9539.950336095793	2016-10-15T15:50:00Z	9	2016	42	10
Pinkfoot	7206.620744191144	2016-10-15T16:40:00Z	330	2016	42	10
Pinkfoot	7118.543086673992	2016-10-16T08:45:00Z	345	2016	42	10
Pinkfoot	8267.77379883805	2016-10-16T10:10:00Z	1650	2016	42	10
Pinkfoot	8642.912461564994	2016-10-16T11:05:00Z	1360	2016	42	10
Pinkfoot	2814.21024707248	2016-10-16T12:10:00Z	510	2016	42	10
Pinkfoot	4778.599186515155	2016-10-16T12:45:00Z	1090	2016	42	10
Pinkfoot	7703.93733588252	2016-10-16T13:35:00Z	780	2016	42	10
Pinkfoot	8886.76281445156	2016-10-19T16:00:00Z	250	2016	42	10
Pinkfoot	2750.8525155900807	2016-10-19T16:50:00Z	870	2016	42	10
Pinkfoot	6887.523075103049	2016-10-20T13:10:00Z	460	2016	42	10
Pinkfoot	6025.501900933077	2016-10-20T13:40:00Z	580	2016	42	10
