343																		
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
172	0	15	1	1	1	1979	13409	1	201	NA	NA	NA	NA	NA	NA	NA	NA	NA
173	0	15	1	1	1	16132	9716	1	117	NA	NA	NA	NA	NA	NA	NA	NA	NA
174	0	15	1	1	1	15251	9269	2	295	231	NA	NA	NA	NA	NA	NA	NA	NA
175	0	15	1	1	1	11888	6949	1	99	NA	NA	NA	NA	NA	NA	NA	NA	NA
176	0	15	1	1	1	30313	16150	2	152	311	NA	NA	NA	NA	NA	NA	NA	NA
177	0	15	1	1	1	30964	16342	1	320	NA	NA	NA	NA	NA	NA	NA	NA	NA
178	0	15	1	1	1	25252	14923	3	116	203	75	NA	NA	NA	NA	NA	NA	NA
179	0	15	1	1	1	29110	14453	1	188	NA	NA	NA	NA	NA	NA	NA	NA	NA
180	0	15	1	1	1	35005	11042	1	514	NA	NA	NA	NA	NA	NA	NA	NA	NA
181	0	15	1	1	1	17028	10924	1	171	NA	NA	NA	NA	NA	NA	NA	NA	NA
182	0	15	1	1	1	34530	12144	1	232	NA	NA	NA	NA	NA	NA	NA	NA	NA
183	0	15	1	1	1	3481	9054	2	167	335	NA	NA	NA	NA	NA	NA	NA	NA
184	0	15	1	1	1	15484	18010	2	88	169	NA	NA	NA	NA	NA	NA	NA	NA
185	0	15	1	1	1	31472	16345	2	424	62	NA	NA	NA	NA	NA	NA	NA	NA
186	0	15	1	1	1	31770	16127	2	94	520	NA	NA	NA	NA	NA	NA	NA	NA
187	0	15	1	1	1	13082	9126	1	349	NA	NA	NA	NA	NA	NA	NA	NA	NA
188	0	15	1	1	1	32313	15317	1	305	NA	NA	NA	NA	NA	NA	NA	NA	NA
189	0	15	1	1	1	31046	14053	1	346	NA	NA	NA	NA	NA	NA	NA	NA	NA
190	0	15	1	1	1	31230	15578	1	233	NA	NA	NA	NA	NA	NA	NA	NA	NA
191	0	15	1	1	1	35766	18575	2	261	202	NA	NA	NA	NA	NA	NA	NA	NA
192	0	15	1	1	1	34356	11465	2	216	230	NA	NA	NA	NA	NA	NA	NA	NA
193	0	15	1	1	1	8803	17814	2	53	252	NA	NA	NA	NA	NA	NA	NA	NA
194	0	15	1	1	1	3364	5879	1	136	NA	NA	NA	NA	NA	NA	NA	NA	NA
195	0	15	1	1	1	33514	17221	5	266	407	152	474	331	NA	NA	NA	NA	NA
196	0	15	1	1	1	23930	18344	2	530	132	NA	NA	NA	NA	NA	NA	NA	NA
197	0	15	1	1	1	21945	18919	2	100	389	NA	NA	NA	NA	NA	NA	NA	NA
198	0	15	1	1	1	176	5793	1	249	NA	NA	NA	NA	NA	NA	NA	NA	NA
199	0	15	1	1	1	3328	2210	4	273	462	36	74	NA	NA	NA	NA	NA	NA
200	0	15	1	1	1	4269	12190	1	138	NA	NA	NA	NA	NA	NA	NA	NA	NA
201	0	15	1	1	1	952	4403	5	210	298	296	493	451	NA	NA	NA	NA	NA
202	0	15	1	1	1	15032	16158	1	345	NA	NA	NA	NA	NA	NA	NA	NA	NA
203	0	15	1	1	1	13455	17404	3	223	315	104	NA	NA	NA	NA	NA	NA	NA
204	0	15	1	1	1	17494	10840	2	39	306	NA	NA	NA	NA	NA	NA	NA	NA
205	0	15	1	1	1	15549	15777	2	470	42	NA	NA	NA	NA	NA	NA	NA	NA
206	0	15	1	1	1	10595	13395	2	395	466	NA	NA	NA	NA	NA	NA	NA	NA
207	0	15	1	1	1	13871	11075	2	397	8	NA	NA	NA	NA	NA	NA	NA	NA
208	0	15	1	1	1	14946	16194	2	428	71	NA	NA	NA	NA	NA	NA	NA	NA
209	0	15	1	1	1	28389	12722	5	538	427	221	474	133	NA	NA	NA	NA	NA
210	0	15	1	1	1	34191	12678	3	347	463	489	NA	NA	NA	NA	NA	NA	NA
211	0	15	1	1	1	29853	10011	2	362	545	NA	NA	NA	NA	NA	NA	NA	NA
212	0	15	1	1	1	30974	16377	5	335	171	241	178	232	NA	NA	NA	NA	NA
213	0	15	1	1	1	-15415	-13658	3	24	445	472	NA	NA	NA	NA	NA	NA	NA
214	0	15	1	1	1	36794	17175	5	147	118	347	395	19	NA	NA	NA	NA	NA
215	0	15	1	1	1	104420	-83104	3	473	330	250	NA	NA	NA	NA	NA	NA	NA
216	0	15	1	1	1	63726	-33348	2	467	287	NA	NA	NA	NA	NA	NA	NA	NA
217	0	15	1	1	1	77030	-13849	5	410	550	177	407	6	NA	NA	NA	NA	NA
218	0	15	1	1	1	3035	-6149	5	71	136	491	332	292	NA	NA	NA	NA	NA
219	0	15	1	1	1	44203	-13264	1	460	NA	NA	NA	NA	NA	NA	NA	NA	NA
220	0	15	1	1	1	-31466	-75120	1	346	NA	NA	NA	NA	NA	NA	NA	NA	NA
221	0	15	1	1	1	3956	-12923	2	153	293	NA	NA	NA	NA	NA	NA	NA	NA
222	0	15	1	1	1	55012	27656	1	43	NA	NA	NA	NA	NA	NA	NA	NA	NA
223	0	15	1	1	1	-5402	787	1	513	NA	NA	NA	NA	NA	NA	NA	NA	NA
224	0	15	1	1	1	39162	-56615	3	208	56	554	NA	NA	NA	NA	NA	NA	NA
