Polyref	CX	CY	Type	Area	Country Designation
31376	8526	5957	1	2	-1
31377	8913	5957	52	1	-1
31378	1571	5958	50	1	-1
31379	3517	5958	11	1	-1
31380	4079	5959	20	3	-1
31381	4154	5962	1	8	-1
31382	4788	5977	50	879	-1
31383	5460	5958	57	1	-1
31384	6559	5975	40	49	-1
31385	8529	5958	1	2	-1
31386	1287	5967	52	66	-1
31387	3517	5961	50	4	-1
31388	4107	5969	20	316	-1
31389	5360	5960	1	3	-1
31390	5367	5960	1	2	-1
31391	8532	5959	1	4	-1
31392	9943	5959	51	1	-1
31393	1217	5960	17	1	3
31394	3492	5970	11	96	-1
31395	3954	5961	24	9	0
31396	4347	5960	57	1	-1
31397	5277	5960	17	1	3
31398	5405	5960	57	1	-1
31399	6412	5960	57	1	-1
31400	7983	5961	57	2	-1
31401	8921	5960	52	1	-1
31402	1288	5969	12	94	-1
31403	4671	5973	12	49	-1
31404	5237	6161	6	48015	-1
31405	5459	5961	57	1	-1
31406	8537	5961	1	2	-1
31407	4014	5964	20	629	-1
31408	7361	5967	53	109	-1
31409	8540	5962	1	4	-1
31410	3455	6006	50	3986	-1
31411	3928	5964	20	3	-1
31412	4672	5974	52	45	-1
31413	5366	5964	1	2	-1
31414	5524	5992	30	724	-1
31415	6602	5966	24	52	0
31416	8563	5963	57	1	-1
31417	8929	5963	52	1	-1
31418	3968	5965	24	10	0
31419	4113	5970	24	99	0
31420	4659	5965	57	2	-1
31421	4596	5952	12	384	-1
31422	5359	5964	1	1	-1
31423	5458	5964	57	1	-1
31424	8545	5964	1	2	-1
31425	5426	5965	32	1	-1
31426	6618	5990	1	82	-1
31427	7960	6017	57	594	-1
31428	8548	5965	1	2	-1
31429	3460	5976	11	178	-1
31430	4130	5970	1	8	-1
31431	4684	5977	50	310	-1
31432	5429	5966	32	2	-1
31433	5727	5980	1	30	-1
31434	6644	5966	22	1	-1
31435	6725	6030	6	11548	-1
31436	6646	5966	20	1	-1
31437	8177	5966	57	1	-1
31438	8518	6087	1	521	-1
31439	8582	5971	44	123	-1
31440	8937	5966	52	1	-1
31441	3980	5969	24	13	0
31442	4042	5975	20	497	-1
31443	5272	5967	57	1	-1
31444	5365	5968	1	2	-1
31445	5434	5967	32	3	-1
31446	5457	5967	57	1	-1
31447	7207	5989	17	1512	3
31448	3907	5969	0	35	-1
31449	5358	5969	1	2	-1
31450	5438	5968	32	3	-1
31451	6633	5978	22	28	-1
31452	8570	5970	30	23	-1
31453	2848	5969	4	1	-1
31454	5442	5969	32	3	-1
31455	5738	5970	22	2	-1
31456	7006	5970	57	2	-1
31457	7175	5986	17	91	3
31458	8560	5970	57	3	-1
31459	8945	5969	52	1	-1
31460	1224	5970	17	1	3
31461	1574	5976	50	36	-1
31462	3941	5978	24	242	0
31463	3962	5974	0	460	-1
31464	3988	5973	20	10	-1
31465	3997	5972	20	32	-1
31466	4054	5976	24	81	0
31467	4037	5987	0	781	-1
31468	4801	5972	50	16	-1
31469	5364	5971	1	3	-1
31470	5446	5970	32	3	-1
